This file was created by CMPT_ME_RETS using the 202309 CRSP database.  It contains,,,,,,,,,,,,,,,,,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Negative (not used)  30%  40%  30%     5 Quintiles    10 Deciles,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The portfolios are constructed at the end of Jun.  The annual returns are from January,,,,,,,,,,,,,,,,,,,
to December.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  Equal Weight Returns -- Monthly,,,,,,,,,,,,,,,,,,,
Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,02-Dec,03-Dec,04-Dec,05-Dec,06-Dec,07-Dec,08-Dec,09-Dec,Hi 10
193811,-99.99,-6.86,-3.24,-1.45,-7.74,-4.85,-2.75,-2.01,-1.61,-10.14,-5.55,-5.15,-4.54,-3.63,-1.84,-2.89,-1.13,-1.7,-1.51
193812,-99.99,-0.26,4.78,4.6,-1.78,3.65,4.81,4.86,4.43,-4.14,0.25,2.58,4.71,3.92,5.76,4.78,4.95,4.3,4.56
193901,-99.99,-7.58,-8.12,-6.84,-6.2,-9.21,-8.22,-7.64,-6.52,-4.13,-7.97,-10.19,-8.23,-8.42,-8,-7.81,-7.47,-7.68,-5.35
193902,-99.99,3.46,4.8,3.85,3.09,4.14,5.28,4.12,3.94,0.9,4.97,4.17,4.11,5.78,4.75,4.56,3.68,4.83,3.04
193903,-99.99,-19.29,-18.57,-13.71,-18.75,-19.34,-18.14,-17.38,-13.01,-17.95,-19.44,-20.31,-18.37,-18.9,-17.33,-19.64,-15.11,-15.64,-10.36
193904,-99.99,0.44,0.11,-0.51,0.52,0.53,0,-0.45,-0.48,-1.22,1.99,0.29,0.78,0.3,-0.32,-0.34,-0.56,-0.36,-0.6
193905,-99.99,7.15,9.99,7.68,6.2,9.17,10.33,9.29,7.16,4.87,7.3,8.91,9.44,10.41,10.25,9.85,8.73,8.06,6.25
193906,-99.99,-10.11,-8.61,-6.48,-10.59,-9.37,-8.07,-7.77,-6.34,-8.7,-12.14,-9.23,-9.52,-7.99,-8.16,-8.77,-6.77,-7.88,-4.79
193907,-99.99,13.09,15.64,11.25,13.72,14.45,14.5,14.78,10.34,12.47,14.97,11.82,17.07,15.57,13.42,16.5,13.08,11.81,8.87
193908,-99.99,-12.02,-11.31,-8.29,-11.79,-12.61,-10.34,-10.63,-7.71,-10.33,-13.23,-12.47,-12.76,-10.66,-10.02,-11.82,-9.45,-9.89,-5.56
193909,-99.99,71.77,33.46,17.58,85.62,42.87,32.42,22.83,17.49,111.96,60.69,44.82,40.93,35.69,29.11,27.99,17.74,19.62,15.4
193910,-99.99,-3.78,0.44,0.63,-5.68,-0.8,1.14,1.47,-0.03,-8.84,-2.74,-0.11,-1.49,2.05,0.21,0.99,1.95,0.08,-0.14
193911,-99.99,-13.11,-7.41,-4.29,-14.63,-9.54,-7.04,-5.73,-4.02,-16.9,-12.49,-10.18,-8.9,-8.18,-5.89,-6.66,-4.82,-5.31,-2.74
193912,-99.99,-2.16,3.62,2.84,-2.93,1.37,4.05,2.69,3.04,-6.42,0.37,-0.67,3.41,3.86,4.24,2.95,2.44,2.92,3.16
194001,-99.99,-1.34,-2.19,-2.19,-2.02,-1.87,-1.65,-2.05,-2.12,-0.33,-3.59,-0.04,-3.69,-1.5,-1.8,-1.76,-2.34,-2.31,-1.93
194002,-99.99,4.65,3.12,1.25,5.03,3.38,3.48,2.51,0.69,4.16,5.84,3.92,2.83,3.6,3.36,2.66,2.36,0.46,0.92
194003,-99.99,3.18,2.81,2.2,2.89,2.84,3.36,2.43,2.14,0.07,5.51,3.74,1.94,3.96,2.76,2.55,2.31,2.67,1.62
194004,-99.99,2.86,1.72,-0.77,2.1,2.71,2.2,-0.45,-0.06,-0.63,4.65,4.3,1.13,2.1,2.31,1.32,-2.19,-0.5,0.38
194005,-99.99,-29.61,-27.47,-23.57,-29.97,-27.75,-27.11,-27.26,-22.63,-29.32,-30.56,-28.93,-26.56,-28.8,-25.4,-29.11,-25.43,-24.02,-21.26
194006,-99.99,5.41,7.01,7.6,5.05,6.55,6.5,8.27,7.15,3.61,6.35,6.08,7.02,6.5,6.49,8.04,8.49,8.37,5.95
194007,-99.99,3.19,4.66,3.22,3.4,3.1,5.57,3.95,2.92,4.53,2.27,2.78,3.43,5.21,5.93,4.07,3.82,3.03,2.8
194008,-99.99,1.94,2.5,2.05,0.58,3.55,2.17,2.57,2.1,-0.89,1.99,4.64,2.46,2.38,1.96,3.2,1.94,2.86,1.34
194009,-99.99,4.17,4.57,2.64,4.27,4.84,5.03,2.65,2.56,3.52,5,3.97,5.71,5.3,4.75,2.5,2.81,3.1,2.02
194010,-99.99,3.93,5.58,4.81,3.15,6.36,4.55,6.54,3.65,-1.2,7.28,5.44,7.29,4.3,4.81,5.95,7.14,4.78,2.51
194011,-99.99,0.25,0.45,-1.56,-0.15,0.68,0.96,-0.9,-1.66,-0.83,0.49,1.02,0.33,0.89,1.02,-0.45,-1.35,-1.8,-1.51
194012,-99.99,-5.26,-0.81,0.14,-7.03,-1.99,-0.41,-0.24,0.32,-11.09,-3.29,-1.81,-2.16,-1.1,0.28,-0.26,-0.22,-1,1.65
194101,-99.99,5.79,-3.01,-3.38,8.76,-0.89,-3.46,-3.47,-3.29,18.89,-0.57,0,-1.77,-2.34,-4.59,-3.36,-3.58,-2.72,-3.86
194102,-99.99,-1.95,-2.27,-1.55,-2,-2.35,-2.15,-1.72,-1.57,0.53,-4.3,-1.85,-2.85,-2.84,-1.45,-1.95,-1.5,-1.78,-1.36
194103,-99.99,2.59,0.86,0.62,2.47,1.93,1.28,0.23,0.61,2.67,2.29,2.82,1.05,1.48,1.07,-0.16,0.63,0.95,0.27
194104,-99.99,-5.62,-6.13,-5.29,-5.39,-6.54,-5.17,-6.7,-4.84,-3.79,-6.85,-6.06,-7.01,-5.78,-4.55,-7.2,-6.19,-4.99,-4.68
194105,-99.99,0.73,1.17,1.25,-0.17,2.04,1.24,1.35,0.83,-0.93,0.52,2.48,1.61,0.74,1.75,0.59,2.1,0.72,0.93
194106,-99.99,8.52,6.23,5.55,10.05,5.84,6.56,5.52,5.66,10.97,9.22,5.58,6.1,5.81,7.31,5.69,5.35,6.21,5.1
194107,-99.99,20.55,11.43,7.44,24.71,12.81,10.22,10.36,6.77,27.5,21.93,12.32,13.3,11.06,9.39,11.97,8.77,7.66,5.88
194108,-99.99,-0.71,-1.04,-0.11,-1.07,-0.74,-1.36,0.38,-0.51,-1.5,-0.65,0,-1.49,-1.78,-0.94,0.06,0.69,-0.63,-0.39
194109,-99.99,-3.63,-1.62,-1.03,-4.55,-2,-1.57,-0.98,-1.16,-5.65,-3.46,-1.83,-2.17,-1.43,-1.71,-1.16,-0.79,-0.83,-1.48
194110,-99.99,-6.79,-6.22,-5.5,-7.72,-5.85,-6.46,-5.28,-5.61,-8.87,-6.58,-4.98,-6.73,-6.04,-6.87,-5.26,-5.3,-5.46,-5.76
194111,-99.99,-6.4,-2.24,-2.01,-7.24,-3.78,-2.05,-1.73,-2.32,-8.62,-5.88,-4.76,-2.78,-2.38,-1.73,-2.09,-1.38,-2.8,-1.84
194112,-99.99,-13.23,-7.26,-4.61,-15.08,-9.95,-6.37,-5.41,-4.53,-15.7,-14.47,-9.61,-10.31,-8.44,-4.3,-6.05,-4.77,-6.59,-2.48
194201,-99.99,29.84,8.74,2.97,38.62,13.12,7.25,4.74,3.13,55.61,21.86,12.6,13.67,9.44,5.06,6.84,2.66,5.28,0.98
194202,-99.99,-0.8,-1.1,-2.53,-0.67,-0.94,-1.13,-1.62,-2.83,1.11,-2.42,-1.06,-0.82,-0.27,-1.99,-1.32,-1.92,-2.45,-3.21
194203,-99.99,-5.17,-4.31,-6.34,-5.66,-3.59,-4.5,-5.44,-6.74,-6.71,-4.63,-4.23,-2.93,-5.66,-3.33,-5.32,-5.56,-6.06,-7.41
194204,-99.99,-3.66,-5.11,-4.7,-3.25,-5.09,-4.53,-5.46,-4.41,-1.26,-5.19,-4.45,-5.75,-3.78,-5.27,-5.64,-5.29,-4.93,-3.88
194205,-99.99,0.65,2.63,5.4,-0.2,2.05,2.53,4.06,5.88,-1.36,0.93,2.29,1.81,2.24,2.81,3.66,4.46,5.46,6.3
194206,-99.99,2.46,2.02,3.08,3.36,1.41,1.95,2.35,3.29,4.57,2.17,0.7,2.14,1.61,2.28,2.03,2.66,3.19,3.39
194207,-99.99,5.7,4.1,4.41,6.78,3.79,4.2,4.49,4.1,8.33,5.23,3.56,4.03,4.64,3.76,3.96,5.02,4.75,3.46
194208,-99.99,4.25,2.25,2.23,4.21,3.2,2.88,2.06,1.89,6.58,1.83,4.35,2.05,2.54,3.21,1.21,2.91,2.32,1.45
194209,-99.99,9.19,3,2.75,11.65,3.95,2.58,3.08,2.65,16.46,6.84,4.26,3.64,2.69,2.48,3.2,2.95,2.95,2.36
194210,-99.99,12.42,10.05,7.07,12.95,12.01,9.25,8.66,6.44,13.69,12.2,11.35,12.66,8.74,9.74,9.01,8.32,7.09,5.79
194211,-99.99,-2.42,-1.65,-0.45,-3.27,-2.2,-1.09,-1.1,0.06,-4.28,-2.27,-0.73,-3.67,-1.49,-0.7,-0.74,-1.46,0.07,0.04
194212,-99.99,0.23,3.93,5.93,-1.26,3.67,3.5,5.22,5.94,-3.11,0.57,3.17,4.18,3.47,3.53,4.54,5.91,6.73,5.16
194301,-99.99,30.32,13.24,7.71,37.48,16.77,12.79,8.79,7.73,46.71,28.38,16.09,17.46,14.22,11.39,9.9,7.69,8.69,6.76
194302,-99.99,24.68,9.71,6.38,31.21,12.02,9.43,7.15,6.25,45.09,17.5,11.72,12.32,10.05,8.81,7.65,6.66,7.7,4.79
194303,-99.99,15.09,10.52,8.12,14.39,14.71,10.46,9.08,7.2,11.88,16.88,16.47,12.96,9.64,11.27,8.2,9.96,9.03,5.37
194304,-99.99,7.67,2.79,0.33,9.21,4.31,2.28,1.39,0.39,11.01,7.42,4.63,4,1.96,2.61,2.56,0.22,1.39,-0.62
194305,-99.99,12.42,7.63,5.07,14.13,10.17,6.65,5.49,5.04,16.43,11.85,9.03,11.31,7.96,5.31,5.84,5.14,4.92,5.16
194306,-99.99,0.38,1.37,1.75,-0.52,1.41,1.94,1.34,1.76,-1.81,0.74,2.16,0.66,1.15,2.73,0.97,1.72,1.93,1.59
194307,-99.99,-7.23,-6.75,-5.12,-6.81,-7.06,-6.73,-6.79,-4.64,-6,-7.62,-8.08,-6.03,-7.9,-5.56,-7.49,-6.09,-5.69,-3.59
194308,-99.99,-1.53,0.97,1.44,-2.21,0.17,1.1,1.3,1.45,-4.08,-0.34,-0.14,0.49,1.1,1.1,1.18,1.43,1.76,1.15
194309,-99.99,4.5,3.56,2.49,4.67,4.26,3.03,2.99,2.65,5.17,4.17,4.16,4.36,2.96,3.1,3.81,2.17,2.83,2.47
194310,-99.99,-0.43,0.07,-0.89,-0.45,0.67,-0.34,-0.61,-1.09,-0.98,0.08,-0.38,1.71,-0.82,0.14,-0.73,-0.48,-1.25,-0.93
194311,-99.99,-11.52,-8.66,-6.82,-12.55,-8.66,-8.81,-8.36,-6.43,-13.4,-11.72,-9.41,-7.92,-8.98,-8.64,-9.11,-7.6,-7.48,-5.39
194312,-99.99,11.88,10.08,7.38,12.27,10.28,10.02,9.47,7.01,12.94,11.61,11.1,9.48,9.83,10.21,10.78,8.14,8.41,5.61
194401,-99.99,7.41,4.12,2.34,7.84,5.71,4.31,2.98,2.02,9.85,5.94,6.54,4.89,4.62,4,2.98,2.98,2.2,1.84
194402,-99.99,2.76,1.17,0.66,3.5,1.13,1.58,1.12,0.16,3.94,3.1,1.29,0.97,1.57,1.59,0.56,1.69,0.35,-0.04
194403,-99.99,5.99,4.06,2.54,6.27,4.93,4.1,2.85,2.76,5.67,6.83,5.44,4.43,3.75,4.45,3.59,2.1,3.5,2.02
194404,-99.99,-3.76,-2.9,-2.34,-3.63,-3.42,-2.88,-3.1,-1.93,-3.97,-3.31,-4.01,-2.83,-3.02,-2.74,-3,-3.19,-2.25,-1.61
194405,-99.99,7.54,6.92,5.28,8.14,6.35,7.17,6.26,5.16,8.23,8.05,6.37,6.34,7.06,7.27,6.99,5.52,6.05,4.27
194406,-99.99,15.56,9.69,6.39,17.64,10.59,8.93,9.37,5.83,19.68,15.7,11.52,9.68,9.08,8.78,11.21,7.5,6.65,5.02
194407,-99.99,-1.36,-1.01,-1.26,-1.37,-0.97,-1.03,-1.26,-1.34,-1.44,-1.3,-1.36,-0.58,-0.5,-1.56,-1.41,-1.1,-1.83,-0.84
194408,-99.99,3.74,3.37,1.93,3.71,3.49,3.66,2.5,1.91,5.62,1.85,3.81,3.17,4.22,3.1,3,1.98,2.59,1.22
194409,-99.99,-0.1,0.04,0.09,-0.35,0.03,0.4,0.17,-0.19,-1.26,0.52,0.39,-0.33,0.23,0.57,-0.31,0.66,-0.25,-0.12
194410,-99.99,0.53,-0.47,0.18,0.93,-0.35,-0.29,-0.36,0.18,0.19,1.62,-0.25,-0.44,-0.09,-0.49,-0.87,0.17,0.2,0.17
194411,-99.99,3.41,1.88,1.99,3.13,2.85,1.76,2.44,1.65,3.7,2.6,3.96,1.76,2.36,1.17,2.22,2.66,1.59,1.71
194412,-99.99,8.94,7.27,4.63,10.01,7.54,6.8,6.33,4.25,11.37,8.76,6.83,8.24,7.04,6.56,7.23,5.4,4.44,4.06
194501,-99.99,6.71,3.99,2.8,6.78,5.56,4.17,3.07,2.67,8.73,4.96,6.56,4.57,4.38,3.96,3.07,3.06,2.65,2.69
194502,-99.99,9.73,8.8,6.92,9.81,9.47,8.42,8.62,6.26,11.26,8.46,9.58,9.36,8.89,7.96,8.97,8.26,6.85,5.66
194503,-99.99,-8.22,-5.07,-3.86,-9.87,-4.68,-5.5,-4.34,-3.93,-11.44,-8.39,-5.02,-4.34,-5.61,-5.38,-4.95,-3.71,-4.44,-3.42
194504,-99.99,8.78,9.47,8.27,8.75,9.18,9.25,9.02,8.3,9.59,7.96,8.83,9.54,9.07,9.43,9.82,8.2,8.88,7.71
194505,-99.99,4.82,2.67,1.55,5.03,3.36,2.56,2.4,1.54,6.44,3.71,4.4,2.34,2.09,3.03,3.21,1.58,1.2,1.88
194506,-99.99,7.4,2.97,0.81,9.23,3.24,2.65,2.91,0.29,10.68,7.88,3.85,2.64,3.02,2.27,3.94,1.86,1.22,-0.64
194507,-99.99,-3.68,-3.7,-2.98,-3.7,-3.74,-4.2,-3.03,-2.71,-3.68,-3.72,-3.65,-3.84,-4.42,-3.98,-2.55,-3.52,-3.32,-2.11
194508,-99.99,6.15,6.9,6.77,5.66,6.63,7.12,6.9,6.87,4.69,6.62,7.16,6.1,7.65,6.6,7.24,6.55,8.28,5.47
194509,-99.99,6.34,6.67,5.62,6.31,6.62,6.51,6.65,5.2,5.45,7.17,6.4,6.84,6.34,6.67,6.82,6.48,5.67,4.72
194510,-99.99,9.16,5.8,4.79,11.31,5.92,5.41,5.24,4.64,12.35,10.29,4.82,7,5.4,5.42,5.39,5.09,5.09,4.2
194511,-99.99,12.36,9.29,7.09,13.07,10.44,9.02,9.91,5.34,15.6,10.61,10.93,9.95,9.31,8.73,9.18,10.65,5.58,5.1
194512,-99.99,3.43,2.79,1.03,3.52,3.93,1.43,2.37,1.02,3.01,4.01,3.26,4.6,0.88,1.98,3.69,1.04,1.76,0.28
194601,-99.99,13.69,8.46,6.42,15.07,9.46,8.84,7.72,5.99,16.96,13.23,10.92,8.03,9.75,7.92,8.15,7.29,5.64,6.34
194602,-99.99,-6.6,-6.92,-5.95,-6.68,-6.61,-7.23,-6.06,-6.08,-6.79,-6.57,-6.45,-6.77,-7.01,-7.45,-6.44,-5.67,-6.76,-5.41
194603,-99.99,3.39,7.47,6.37,3.01,5.95,7.19,7.12,6.32,2.27,3.73,4.14,7.73,6.76,7.61,7.76,6.47,6.43,6.21
194604,-99.99,7.35,5.18,3.6,8,6.55,4.44,4.3,3.49,9.33,6.71,6.05,7.04,4.09,4.79,4.76,3.83,2.91,4.07
194605,-99.99,5.33,6.38,4.64,4.94,6.2,6.38,5.96,4.26,3.53,6.31,6.12,6.28,5.9,6.87,6.49,5.42,5.25,3.27
194606,-99.99,-5.21,-5.21,-4.26,-5.06,-5.24,-5,-5.54,-3.79,-5.33,-4.8,-5.51,-4.97,-4.88,-5.11,-5.85,-5.23,-4.18,-3.39
194607,-99.99,-5.43,-3.96,-3.19,-5.35,-4.61,-4.13,-3.96,-2.81,-5.02,-5.68,-5.58,-3.61,-4.17,-4.09,-3.96,-3.96,-3.01,-2.61
194608,-99.99,-8.62,-7.87,-5.96,-8.73,-8.3,-7.77,-6.89,-5.93,-8.67,-8.8,-8.4,-8.2,-7.7,-7.84,-7.74,-6.03,-6.08,-5.78
194609,-99.99,-16.03,-13.4,-10.9,-16.79,-14.29,-13.19,-12.67,-10.27,-17.41,-16.17,-14.51,-14.07,-13.78,-12.59,-13.16,-12.17,-10.66,-9.88
194610,-99.99,-1.57,-1.3,-0.92,-1.25,-1.67,-1.16,-1.32,-0.94,-0.8,-1.7,-2.21,-1.12,-0.27,-2.03,-1.78,-0.87,-1.98,0.12
194611,-99.99,-0.7,-0.08,-0.31,-1.05,-0.53,0.28,0.19,-0.56,-0.94,-1.16,-0.02,-1.06,0.02,0.54,0.17,0.2,-1.02,-0.09
194612,-99.99,3.09,5.58,5.33,2.74,4.78,5.4,5.4,5.45,0.87,4.62,3.76,5.82,5.25,5.56,5.71,5.09,5.96,4.93
194701,-99.99,5.45,2.61,1.07,6.08,3.96,2.48,1.48,1.03,6.89,5.27,4.22,3.69,2.3,2.66,1.82,1.15,1.52,0.53
194702,-99.99,0.22,-0.71,-1.24,0.11,-0.03,-0.69,-1.1,-1.23,0.76,-0.54,0.42,-0.48,-0.65,-0.73,-0.96,-1.25,-1.11,-1.35
194703,-99.99,-4.29,-2.85,-1.95,-4.18,-4.02,-2.52,-2.1,-2.25,-4.59,-3.77,-4.52,-3.51,-2.55,-2.5,-2.85,-1.35,-2.73,-1.76
194704,-99.99,-9.91,-8.36,-6.27,-10.67,-8.48,-8.17,-7.92,-5.76,-11.96,-9.38,-8.41,-8.55,-8.4,-7.94,-8.54,-7.29,-7.19,-4.32
194705,-99.99,-5.57,-3.83,-2.17,-6.13,-4.37,-3.95,-3.55,-1.28,-6.76,-5.5,-4.47,-4.27,-3.8,-4.09,-3.14,-3.95,-2.43,-0.12
194706,-99.99,6.44,5.32,5.82,6.63,5.82,4.99,6.06,5.55,8.26,5,6.07,5.56,4.11,5.85,5.75,6.38,6.14,4.95
194707,-99.99,7.83,6.14,4.79,7.71,6.81,6.45,5.99,4.25,7.88,7.55,8.05,5.57,5.4,7.49,6.11,5.88,4.58,3.92
194708,-99.99,-2.55,-0.8,-2.13,-2.55,-1.76,-1.16,-1.26,-1.88,-3.34,-1.75,-2.55,-0.97,-1.12,-1.19,0.08,-2.64,-1.79,-1.98
194709,-99.99,1.15,0.54,0.07,0.79,1.23,0.59,0.53,-0.23,0.85,0.72,1.87,0.59,0.76,0.42,0.39,0.67,0.38,-0.85
194710,-99.99,4.35,3.34,2.38,4.78,3.46,3.3,2.54,2.71,4.4,5.16,3.5,3.43,2.41,4.18,3.36,1.7,2.71,2.7
194711,-99.99,-3.34,-2.97,-2.44,-3.07,-3.76,-2.87,-2.8,-2.13,-3.13,-3,-3.9,-3.62,-3.47,-2.28,-2.5,-3.1,-2.44,-1.81
194712,-99.99,1.82,2.02,3.25,1.93,1.34,1.98,2.84,3.54,2.72,1.15,1.6,1.07,2,1.95,3.03,2.65,3.43,3.66
194801,-99.99,0.21,-1.84,-3.31,1.09,-1.54,-2.06,-2.02,-3.8,3.41,-1.23,-1.58,-1.51,-1.45,-2.67,-1.73,-2.32,-3.65,-3.95
194802,-99.99,-7.08,-6.14,-4.62,-7.31,-6.61,-6.08,-5.4,-4.44,-7.72,-6.89,-6.63,-6.58,-5.29,-6.87,-5.82,-4.97,-4.76,-4.13
194803,-99.99,9.98,9.22,9.8,10.48,8.78,9.48,9.85,9.51,9.91,11.06,8.96,8.6,9.01,9.96,9.32,10.39,11,8.02
194804,-99.99,4.52,3.5,3.58,4.76,3.35,2.79,4.91,3.36,6.34,3.18,4.03,2.66,2.17,3.41,5.77,4.04,3.53,3.19
194805,-99.99,9.89,8.73,7.67,10.32,9.04,8.79,7.85,7.8,12.21,8.42,9.02,9.05,7.74,9.84,8.29,7.4,9.01,6.59
194806,-99.99,-1.22,-1.74,-0.91,-1.04,-1.52,-1.93,-1.61,-0.57,-1.16,-0.93,-1.57,-1.47,-1.52,-2.34,-1.61,-1.62,-0.98,-0.16
194807,-99.99,-5.8,-5.08,-5.12,-5.84,-4.92,-5.41,-4.94,-5.42,-6.16,-5.53,-5.71,-4.14,-5.67,-5.15,-5.38,-4.5,-6.04,-4.8
194808,-99.99,-1.21,-0.03,0.55,-1.55,-0.54,0.24,0.36,0.45,-1.3,-1.8,-0.52,-0.56,-0.38,0.87,-0.03,0.76,0,0.9
194809,-99.99,-5.08,-4.23,-3.55,-5.61,-3.74,-4.5,-4.43,-3.14,-5.99,-5.23,-4.02,-3.47,-4.83,-4.16,-4.47,-4.39,-3.24,-3.04
194810,-99.99,5.42,4.97,5.73,5.21,5.02,4.92,5.79,5.72,5.68,4.75,5.85,4.19,4.87,4.97,5.83,5.74,5.09,6.37
194811,-99.99,-11.64,-10.68,-9.68,-11.65,-10.74,-10.39,-10.79,-9.76,-10.74,-12.54,-11.64,-9.85,-10.73,-10.06,-12.07,-9.5,-10.23,-9.29
194812,-99.99,-1.15,1.47,3.38,-1.73,0.12,1.69,2.67,3.53,-2.92,-0.56,0.01,0.22,1.16,2.21,2.29,3.06,3.45,3.62
194901,-99.99,3.48,1.28,1.02,3.89,2.11,0.91,1.65,0.74,3.71,4.07,2.65,1.57,1.9,-0.09,1.71,1.59,0.83,0.65
194902,-99.99,-5.43,-4.32,-2.49,-5.46,-5.4,-4.12,-3.03,-2.52,-5.93,-4.99,-5.38,-5.43,-4.66,-3.57,-3.62,-2.43,-2.13,-2.92
194903,-99.99,7.14,6.34,4.31,7.4,6.46,6.42,5.13,4.44,7.69,7.12,6.6,6.32,6.57,6.28,6.21,4.05,4.89,3.97
194904,-99.99,-2.96,-3.85,-2.31,-2.98,-3.65,-3.53,-3.58,-1.86,-2.58,-3.38,-2.93,-4.36,-2.38,-4.7,-3.97,-3.19,-2.49,-1.23
194905,-99.99,-6.58,-4.07,-2.33,-7,-4.82,-4.12,-3.04,-2.53,-6.54,-7.46,-5.74,-3.91,-3.59,-4.65,-4.13,-1.93,-1.89,-3.17
194906,-99.99,-1.39,-1.26,0.53,-1.2,-1.34,-1.55,-0.54,0.83,-1.45,-0.96,-1.76,-0.93,-1.26,-1.85,-1.01,-0.06,0.98,0.67
194907,-99.99,6.29,6.69,5.53,6.44,6.49,6.57,6.31,5.29,7.93,4.93,5.98,7,6.56,6.59,6.61,6.01,5.14,5.44
194908,-99.99,2.21,2.91,2.3,2.3,2.4,3.12,2.34,2.43,1.73,2.89,2.03,2.77,4.12,2.11,2.63,2.05,1.73,3.13
194909,-99.99,4.77,4.5,3.65,4.93,4.69,4.34,4.38,3.29,6.06,3.79,4.45,4.93,4.24,4.45,4.39,4.37,3.86,2.73
194910,-99.99,6.1,3.26,2.72,6.84,3.99,3.53,2.67,2.72,8.63,5.03,4.62,3.36,3.63,3.43,2.61,2.73,2.6,2.83
194911,-99.99,-0.79,1.32,2.09,-1.4,0.58,1.08,2.01,2.33,-1.93,-0.86,0.43,0.72,0.88,1.28,2.39,1.63,2.75,1.92
194912,-99.99,8.39,7.09,5.77,8.27,7.5,7.97,6.18,5.51,9.05,7.49,8.62,6.39,7.77,8.17,6.05,6.3,5.91,5.11
195001,-99.99,5.91,4.06,2.03,6.51,4.51,4.64,2.55,1.84,6.21,6.81,4.73,4.29,5.32,3.95,2.68,2.43,2.25,1.43
195002,-99.99,2.48,1.1,1.51,2.41,2.11,0.65,1.64,1.37,2.6,2.22,2.62,1.6,0.19,1.11,1.49,1.79,2.04,0.7
195003,-99.99,-0.76,-0.56,0.79,-0.48,-0.89,-0.77,0.28,0.79,-0.52,-0.44,-1.32,-0.46,-1.45,-0.08,-0.23,0.79,0.33,1.23
195004,-99.99,6.26,4.95,3.35,6.61,5.63,5.36,3.39,3.34,6.93,6.29,5.56,5.69,5.5,5.21,3.42,3.37,3.65,3.03
195005,-99.99,2.85,3.38,3.7,3.31,2.85,2.81,3.52,4.08,4.63,1.98,1.95,3.76,2.82,2.79,4.12,2.92,3.74,4.42
195006,-99.99,-8.94,-7.07,-6.65,-9.36,-7.86,-7.08,-7.07,-6.15,-9.45,-9.28,-8.09,-7.63,-6.88,-7.29,-6.49,-7.65,-6.52,-5.78
195007,-99.99,8.77,4.54,2.05,9.54,6.68,4.46,3.43,1.23,10.36,8.72,7.25,6.11,4.32,4.61,3.15,3.71,1.48,0.98
195008,-99.99,5.26,5.23,4.51,5.32,4.93,5.61,4.57,4.71,5.28,5.36,5.14,4.71,6.22,4.99,5.01,4.13,4.97,4.44
195009,-99.99,4.44,6.07,5.63,3.92,5.83,5.87,6.31,5.3,4.42,3.43,5.45,6.21,5.23,6.51,6.33,6.29,5.69,4.92
195010,-99.99,-0.28,-0.29,-0.83,-0.22,0.31,-0.57,-1.15,-0.6,0.3,-0.74,-0.4,1.03,-0.39,-0.76,-1.03,-1.28,-0.99,-0.21
195011,-99.99,3.21,3.07,3.48,2.98,3.27,2.92,3.55,3.47,2.73,3.24,3.67,2.87,2.15,3.7,3.59,3.51,3.78,3.16
195012,-99.99,12.53,7.55,5.75,13.78,9.57,6.96,6.88,5.36,16.52,11.03,10.06,9.07,5.93,7.99,7.24,6.52,5.55,5.17
195101,-99.99,8.6,7.9,6.05,8.57,8.48,8.23,7.11,5.39,7.92,9.23,8.66,8.3,8.64,7.82,6.85,7.37,5.8,4.98
195102,-99.99,0.41,1.31,1.81,0.16,1.23,1.24,1.65,1.65,-0.02,0.34,0.9,1.57,1.12,1.36,1.18,2.12,2.24,1.05
195103,-99.99,-4.91,-3.14,-2.21,-5.04,-3.66,-3.34,-3.02,-1.92,-6.4,-3.67,-4.66,-2.64,-2.8,-3.87,-3.24,-2.8,-2.23,-1.6
195104,-99.99,3.9,4.09,4.28,3.79,4.04,4.04,4.34,4.23,3.57,4.01,4.11,3.98,4.35,3.73,4.29,4.38,3.91,4.56
195105,-99.99,-3.5,-2.2,-1.9,-4.01,-2.85,-2.02,-1.93,-1.69,-3.5,-4.52,-2.48,-3.22,-1.63,-2.4,-1.55,-2.31,-1.15,-2.24
195106,-99.99,-6,-4.92,-2.6,-5.89,-5.45,-5.51,-3.71,-2.21,-6.08,-5.7,-6.22,-4.66,-5,-6.03,-4.02,-3.39,-2.41,-2.01
195107,-99.99,5.04,6.2,7.63,4.1,6.33,5.9,7.36,7.71,3.67,4.53,6.9,5.75,5.9,5.9,7.24,7.48,7.35,8.08
195108,-99.99,5.59,4.73,3.82,5.97,4.88,5.1,3.76,3.86,6.45,5.5,4.84,4.93,5.74,4.45,3.79,3.74,3.64,4.07
195109,-99.99,2.7,2.37,1.75,2.07,3.41,2.26,2.26,1.41,1.13,3.01,3.98,2.85,2.22,2.31,2.1,2.41,2.19,0.63
